MeasuredFrame,FrameTime,GameThreadTime,RenderThreadTime,GPUTime,RHIThreadTime
285,30.9601,0.9084,2.3607,31.1708,1.0685
286,30.5348,0.8359,1.9547,27.8896,0.9502
287,31.4696,0.8095,2.1140,27.8878,1.0556
288,31.3347,0.8072,2.1433,28.5231,1.0556
289,31.4311,0.8164,2.2068,27.6520,1.0279
290,31.1687,0.8112,2.2641,28.0240,1.0669
291,31.0867,0.8450,2.0012,27.3646,1.0498
292,31.1997,0.8018,2.0939,28.3650,0.9582
293,31.5576,0.8879,2.2611,28.5267,1.0802
294,31.2652,0.9280,2.2475,27.9432,1.0733
295,31.2975,0.8491,2.3476,29.9711,1.0623
296,31.4151,0.9559,2.4554,30.6618,1.1831
297,31.1201,0.7903,2.3635,27.3057,1.1377
298,31.1109,0.8252,2.1184,27.5885,1.0641
299,31.2048,0.7782,2.1171,28.2426,1.0658
300,30.8833,0.8178,1.9958,27.8786,0.9758
301,31.7891,0.7924,2.3214,27.5119,1.0707
302,31.2901,0.8909,2.2730,27.8454,0.9841
303,30.9450,0.8865,2.1767,29.1800,1.0927
304,31.2227,0.9322,2.0288,28.9397,0.9872
305,31.3209,0.8151,2.2145,27.6325,1.0693
306,31.3445,0.8175,2.1467,29.8023,1.0892
307,31.5635,0.8408,2.6277,30.4458,1.2546
308,30.7432,0.8533,2.0644,28.2173,1.0226
309,31.1842,0.7585,2.1832,27.1836,0.9565
310,31.4030,0.7843,2.1350,27.5872,1.0028
311,31.0953,0.7798,2.0868,28.4253,1.0355
312,31.2620,0.7505,2.1091,28.0001,1.0419
313,31.5130,0.7623,2.2001,27.5727,0.9574
314,30.9253,0.8782,2.0965,27.2219,1.0344
315,31.5697,0.8338,2.1854,29.0855,1.0421
316,31.1114,0.8219,2.1247,28.2679,1.0283
317,31.4569,0.7995,2.2720,30.9417,1.0773
318,31.9939,0.8271,2.9990,30.5775,1.5209
319,30.3090,0.8187,2.1142,27.7182,1.0142
320,30.9132,0.8278,2.0328,28.2883,0.9652
321,31.5564,0.8083,2.2258,27.2348,1.0244
322,31.3746,0.8148,2.1925,27.6683,1.0214
323,31.1540,0.8976,2.0697,28.7693,0.9828
324,31.2257,0.7664,2.0610,28.3921,1.0570
325,31.4110,0.8863,2.3717,28.6055,1.1240
326,31.3833,0.9710,2.1527,28.3586,1.0512
327,30.9996,0.7849,2.1049,28.2797,1.0532
328,31.6590,0.8639,2.4482,31.4155,1.1602
329,30.9668,1.0063,2.2246,31.1868,1.0585
330,31.2003,0.8764,2.2941,27.8797,1.0452
331,31.1108,0.7557,2.1938,28.5599,1.0425
332,31.4538,0.8085,2.1416,28.6588,1.0356
333,31.2074,0.8460,2.3138,27.6623,1.1021
334,31.2849,0.8954,2.1967,28.0879,1.0010
